location_name,sex_name,age_name,cause_name,val
Alabama,Male,15 to 19,Anxiety disorders,4776.0519
Alabama,Female,15 to 19,Anxiety disorders,8210.5058
Alabama,Male,20 to 24,Anxiety disorders,5155.5897
Alabama,Female,20 to 24,Anxiety disorders,9673.269
Alabama,Female,50 to 54,Anxiety disorders,10846.2637
Alabama,Male,50 to 54,Anxiety disorders,5746.1539
Alabama,Female,45 to 49,Anxiety disorders,11568.937
Alabama,Male,45 to 49,Anxiety disorders,6248.7749
Alabama,Female,40 to 44,Anxiety disorders,11867.2339
Alabama,Male,40 to 44,Anxiety disorders,6454.4486
Alabama,Female,35 to 39,Anxiety disorders,11657.8794
Alabama,Male,35 to 39,Anxiety disorders,6198.5441
Alabama,Female,30 to 34,Anxiety disorders,11239.0023
Alabama,Male,30 to 34,Anxiety disorders,5830.9227
Alabama,Female,25 to 29,Anxiety disorders,10627.5725
Alabama,Male,25 to 29,Anxiety disorders,5480.6114
Alabama,Female,20 to 24,Depressive disorders,7721.985
Alabama,Male,25 to 29,Depressive disorders,4714.68
Alabama,Female,25 to 29,Depressive disorders,7653.39
Alabama,Male,30 to 34,Depressive disorders,4727.635
Alabama,Female,30 to 34,Depressive disorders,7840.465
Alabama,Male,35 to 39,Depressive disorders,5095.845
Alabama,Female,35 to 39,Depressive disorders,8637.77
Alabama,Male,40 to 44,Depressive disorders,5226.8
Alabama,Female,40 to 44,Depressive disorders,8959.635
Alabama,Male,45 to 49,Depressive disorders,4887.225
Alabama,Male,20 to 24,Depressive disorders,4834.31
Alabama,Female,45 to 49,Depressive disorders,8412.15
Alabama,Female,50 to 54,Depressive disorders,7701.205
Alabama,Male,55 to 59,Depressive disorders,4032.31
Alabama,Female,55 to 59,Depressive disorders,6947.745
Alabama,Male,60 to 64,Depressive disorders,3651.745
Alabama,Female,60 to 64,Depressive disorders,6184.03
Alabama,Male,65 to 69,Depressive disorders,3422.93
Alabama,Female,65 to 69,Depressive disorders,5487.7
Alabama,Male,70 to 74,Depressive disorders,3212.98
Alabama,Female,70 to 74,Depressive disorders,4762.39
Alabama,Male,75 to 79,Depressive disorders,3009.7
Alabama,Male,50 to 54,Depressive disorders,4464.12
Alabama,Female,75 to 79,Depressive disorders,4027.705
Alabama,Female,15 to 19,Depressive disorders,7726.49
Alabama,Male,15 to 19,Depressive disorders,3616.875
Alabama,Male,80 plus,Depressive disorders,3231.23113
Alabama,Female,80 plus,Depressive disorders,3967.413109
Alabama,Male,80 to 84,Depressive disorders,3022.015
Alabama,Female,80 to 84,Depressive disorders,3698.925
Alabama,Male,15 to 19,Major depressive disorder,2759.6804
Alabama,Female,15 to 19,Major depressive disorder,6371.188
Alabama,Male,20 to 24,Major depressive disorder,3522.7544
Alabama,Female,20 to 24,Major depressive disorder,5601.4443
Alabama,Male,25 to 29,Major depressive disorder,3121.9395
Alabama,Female,25 to 29,Major depressive disorder,5048.1941
Alabama,Male,30 to 34,Major depressive disorder,2945.7444
Alabama,Female,30 to 34,Major depressive disorder,4945.9002
Alabama,Male,35 to 39,Major depressive disorder,3220.298
Alabama,Female,35 to 39,Major depressive disorder,5566.9407
Alabama,Male,40 to 44,Major depressive disorder,3268.1741
Alabama,Female,40 to 44,Major depressive disorder,5745.6678
Alabama,Male,45 to 49,Major depressive disorder,2908.9367
Alabama,Female,45 to 49,Major depressive disorder,5146.5311
Alabama,Male,50 to 54,Major depressive disorder,2529.5605
